Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<P>
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Coahuila de Zaragoza<C1>",4.471342033736,4.469576362771,4.273899565682,4.311464233542,4.279695984192,4.150073069664,3.314126892637,3.927884527632,4.252478555119,4.412016365036,4.517166207781,4.546761089064,4.295005051974,4.351488590626,4.442047311477,4.474862065445,4.424097471902,4.504851138024,4.569910738339,4.421168149552,4.497614649638
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Colima<C1>",0.396253753706,0.392457956399,0.37910883814,0.394425287232,0.395786487158,0.401194277257,0.420560729784,0.411529936317,0.404204941268,0.368596686191,0.333696071695,0.305455133469,0.31197168945,0.310678448151,0.31321117903,0.306492239886,0.303691451664,0.339035460996,0.382320422057,0.411415299029,0.375572608113
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Chiapas<C1>",1.331204969585,1.232055235269,1.19836514354,1.099339875543,1.152683428429,1.095266939037,1.225876208415,1.134866352427,1.064337453297,1.054860444151,1.072184962297,1.041934760831,1.104390136492,1.119833319553,1.067449992112,1.026917803164,1.04276041441,1.062247832281,1.037192367037,1.031024913344,1.067025585253
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Chihuahua<C1>",3.072378725682,3.125989099257,3.081841911936,3.125683413971,3.177263395781,3.33802783407,3.183364570016,3.180610989445,3.127415393404,3.386270554787,3.410289119332,3.42815937159,3.522141792847,3.498259861464,3.48964721724,3.361521273968,3.343955052538,3.505891373125,3.436304338493,3.608278664909,3.648230302264
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Ciudad de México<C1>",17.141093893723,17.370150343468,17.301585097802,17.062596736984,16.753517389556,16.670738735649,17.401691252253,16.89516212284,16.872127942814,16.637970805936,16.786530079926,16.366967387829,16.220108130141,16.158810727668,16.303364828709,16.261750925309,16.138617196231,16.112691373163,15.791239836576,16.226902840371,16.170869165877
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Durango<C1>",1.079943233748,1.073057079516,1.042959287437,1.012890647709,0.990474104116,1.0573946087,1.085224778427,1.018695797318,1.030878544829,1.02316146418,1.044158355159,1.019570925602,0.989027372242,0.999462553655,0.949582500811,0.956395432752,0.965235030432,0.990693500622,0.997107453143,0.96111988816,0.931531195669
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Guanajuato<C1>",3.882224730396,3.895594070003,3.832065817328,3.788691853499,3.753212664859,3.771447947824,3.911046974261,4.071441328207,4.208435426028,4.125656076083,4.360726534887,4.723762497763,4.954558447564,5.055406247902,5.05150359839,4.820737514815,4.703506228411,4.799135363325,4.840932906599,4.793119127213,4.808518081086
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Guerrero<C1>",1.19513007066,1.243015795949,1.293605497777,1.240404396813,1.2101011331,1.250122282938,1.245077725394,1.118232819575,1.078333900535,1.050796110475,1.023589404255,1.076641983847,0.981196269915,0.934820649918,0.870847055287,0.910876806819,0.929308427909,0.927828120276,0.952149269776,0.883594262637,0.883692110963
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Hidalgo<C1>",1.485048793237,1.507742339488,1.482670833642,1.407437187117,1.397324583357,1.406737696924,1.468059010747,1.397671394324,1.377169028003,1.36705235949,1.34065492731,1.341351889227,1.353509773355,1.35168808775,1.327403123008,1.384844519395,1.456174121097,1.5140496996,1.53173270274,1.62128020974,1.598882048965
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Jalisco<C1>",8.137543350685,8.083605850657,8.201956861439,8.14758436689,8.144541693026,8.373600471448,8.42253392415,8.514870278443,8.106039214125,8.377462445753,8.415013928687,8.611388940233,8.626875076105,8.475637258138,8.425785319629,8.468050962719,8.793276795641,8.572588428304,8.538309565916,8.637058786709,8.49808346566
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|México<C1>",11.32431547257,11.039435197093,11.49303505378,11.680046740026,11.627775512664,11.476189633741,11.551836616837,11.820902505221,11.998226751163,12.060592935036,12.103746001171,11.292975825838,10.147907642323,10.154509729248,10.368844943921,10.30666588201,10.028766857233,10.19013469878,10.039892304593,9.731577353547,9.489190695841
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Michoacán de Ocampo<C1>",2.197450851849,2.220381770124,2.078654423425,2.017302089356,1.980887769315,2.012775639801,2.10520511767,1.975504364159,1.959196126898,1.900630188682,1.861860879276,1.974786953078,2.11621051452,2.120081408504,2.092844019259,2.100118761052,2.098010338682,2.240329657274,2.223356720425,2.185098366086,2.261883181569
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Morelos<C1>",1.332157445555,1.33597872757,1.332952599244,1.257238470638,1.258574122833,1.215495340964,1.243875834242,1.23672628839,1.282104495808,1.26449210234,1.310542924766,1.303886223098,1.322263757808,1.325674812052,1.286630218452,1.211488268534,1.172929388199,1.17559343696,1.146305930888,1.03147256193,1.044627675241
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Nayarit<C1>",0.590592375937,0.605216770563,0.652906843127,0.636493195675,0.580019149039,0.597101781198,0.638265244039,0.608166558556,0.620302348479,0.577975178224,0.600043324724,0.545318078349,0.542572213902,0.551447940356,0.556734425534,0.543582809413,0.578789339955,0.55561492112,0.575926748116,0.628780898154,0.656790339892
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Nuevo León<C1>",8.867534197589,8.841154222384,8.502828665423,8.590481855919,8.721547134207,8.544343385483,8.529487910458,8.683087304826,8.509843563774,8.353505546309,8.202545978189,8.303765182501,8.494051064646,8.688020284792,8.81042587901,9.233885714261,9.313225715716,9.140678295379,9.155582824032,9.138707786408,9.066844415486
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Oaxaca<C1>",1.658867390828,1.624155350441,1.630856661596,1.59877791191,1.61939355663,1.63119372852,1.718278208838,1.434905645238,1.417775226736,1.327040710867,1.350488729918,1.322154899626,1.331318032133,1.346817127993,1.206470102006,1.244586179545,1.259021781016,1.297079670978,1.259797159931,1.316352927279,1.301451080839
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Puebla<C1>",3.626464881802,3.528474144459,3.650323749563,3.555137910617,3.631153540764,3.586896565021,3.426519242872,3.445016378076,3.561551139979,3.621079885235,3.499560012784,3.406649107976,3.376605459327,3.359535049374,3.620367395055,3.516984696241,3.513452376931,3.445858989637,3.327508085661,3.338642050087,3.419112225748
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Querétaro<C1>",2.359351213635,2.447863397397,2.469122055124,2.455203956262,2.562052321463,2.460535419578,2.425920877798,2.609699078642,2.81765907916,2.774976589034,2.728615426308,2.784756852509,2.85500091357,2.806297242212,2.752356715054,2.814710130076,2.815018806519,2.869814106421,2.8476944706,2.782046192582,2.845952770895
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Quintana Roo<C1>",1.405914546558,1.453127896906,1.389707070261,1.398983969465,1.558122605955,1.635707418786,1.636058247274,1.653128653844,1.677712090458,1.717905850058,1.744298183384,1.76376376785,1.857437140923,1.984415256944,2.030428360275,2.038194001144,1.999366141323,1.533989898381,1.796504648566,1.952578486154,1.791447922709
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|San Luis Potosí<C1>",1.675257614126,1.739790364749,1.749256778376,1.708763462094,1.677205296936,1.741277827498,1.726028880714,1.731764104662,1.865491900049,1.889906655894,1.936188251759,1.953823182433,1.965829332036,2.083173427229,2.224404744273,2.196384846492,2.072855212281,2.166159261964,2.030827244237,1.984753687624,2.198952972179
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Sinaloa<C1>",1.905579220117,1.871019527134,1.878154898849,1.862392892341,1.859118849896,1.912465179179,1.95199206985,1.827606257403,1.7751649769,1.763503020828,1.718060207586,1.671194832438,1.678579855696,1.691255888249,1.676844275309,1.688975714487,1.682256645122,1.701672702226,1.729249450928,1.683547460599,1.622516044661
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Sonora<C1>",2.889511743398,2.919968992956,2.981579640907,3.314159078982,3.290486448173,3.398362532746,3.231697643445,3.28268992305,3.350943917329,3.305227667665,3.384952400795,3.342070848541,3.358335208189,3.262316143712,3.057228669409,2.957367196272,2.953168454814,2.85741156026,3.018859187987,3.219998675758,3.432861205589
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Tabasco<C1>",1.220874691358,1.202642760554,1.210771586993,1.211874888753,1.15600120684,1.197158865423,1.233161411081,1.168459678096,1.164498598562,1.154984064711,1.154561927443,1.12590238713,1.224593244318,1.155512004186,1.102233919289,1.046538457609,1.019440038283,1.008083913505,1.167622411889,1.191997215012,1.128295400368
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Tamaulipas<C1>",2.774415522786,2.827461672904,2.867967373245,2.892171296186,2.91048985223,2.96506493076,2.857857351172,2.768585266802,2.720509302303,2.78706650024,2.729199404227,2.820215287591,2.88704880634,2.87326578853,2.863567883537,2.913425900216,3.033199919329,3.152676554345,3.080995425171,3.000359135809,2.923133906324
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Tlaxcala<C1>",0.714212100939,0.757910290412,0.670002607944,0.676996782453,0.646369170921,0.642706904112,0.652425171553,0.653006772889,0.6567779571,0.63242553791,0.628663902134,0.671447309255,0.705208953976,0.701219277441,0.708203372649,0.71227491279,0.706569561222,0.732706859036,0.706975800403,0.675877594167,0.677370349862
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Veracruz de Ignacio de la Llave<C1>",4.350210694453,4.263285282818,4.096769624928,4.012806399781,3.979293199841,4.017597559035,4.121549573783,3.964269089168,3.872790389658,3.783096932934,3.648536812198,3.762742701146,3.772989205212,3.653876286164,3.500913976022,3.419685859955,3.509462918683,3.605864221161,3.573268377269,3.489683662726,3.449639563128
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Yucatán<C1>",1.209678645542,1.214853948402,1.237327815414,1.222687366756,1.229514096739,1.225221492319,1.235144482541,1.207250172051,1.226387337839,1.192640952504,1.15396415477,1.172837260871,1.169266828721,1.1889054661,1.243324748957,1.342894282858,1.350806837395,1.368254524792,1.378409978418,1.371147994041,1.39518341725
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Zacatecas<C1>",1.197508291805,1.226526291359,1.346362654969,1.362835309288,1.393491891478,1.454067059534,1.568673148028,1.698776779819,1.453703265357,1.433008454737,1.240781438999,1.444016703991,1.470742109969,1.429591477655,1.402776222566,1.548603562532,1.47261968703,1.532719264244,1.463460723648,1.397967536528,1.276197632295
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Estados Unidos Mexicanos<C1>",NA,3.053566982726,3.45962077662,5.494789781676,-0.429366379693,4.258725719295,-12.081592956272,-0.533184346407,0.672318822234,1.370010896527,-0.86680646704,2.457956251522,5.359602493166,2.247204764866,1.947691061285,2.398454988747,0.404681772934,-13.851807737084,11.371053513267,6.228049778271,4.228128865028
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Aguascalientes<C1>",NA,0.050011793775,0.038625844799,0.12093442197,0.098443853638,0.008866739763,-0.185546497544,0.081238213945,0.055131493193,0.052487099237,0.026472869611,0.191196174563,0.109280987305,0.042311986762,-0.010252016731,0.036175828074,0.012542278223,-0.183114023986,0.087410951347,-0.004133328539,0.17867538208
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Baja California<C1>",NA,0.070087962969,0.258815736858,0.465213184952,-0.050802306399,-0.05664431492,-0.806956850919,0.048874089066,-0.007838290574,0.155347083913,-0.001352966223,0.126240657286,0.176206352914,0.178393803633,0.117002537965,0.108670509269,0.146262216212,-0.510892267416,0.49042493953,0.294656063325,0.275047545545
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Baja California Sur<C1>",NA,0.042440582661,0.067155727217,0.057274868912,0.055522695016,0.010783575087,-0.044180591127,-0.036244666313,-0.004880301601,0.014015641512,-0.029877463504,0.012191202265,0.059030648084,0.034878833108,0.033762475231,0.041472391338,-0.016158632937,-0.18546463535,0.218952150446,0.067314150727,0.023738274299
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Campeche<C1>",NA,0.015129816332,0.052127459347,0.020514592211,-0.024719282291,0.032693783401,-0.047583148162,-0.037813077763,-0.009938359866,-0.022503776262,-0.010030569331,0.015691797946,0.539787814611,-0.08726691629,-0.112658259394,-0.077216158034,0.016213044793,-0.327573779299,0.348951659804,-0.020272453661,0.095359273231
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Coahuila de Zaragoza<C1>",NA,0.134715837116,-0.047816079742,0.274470564005,-0.050143825059,0.047117314659,-1.23634549825,0.592814769549,0.353184241224,0.219982914874,0.065994753929,0.141352279713,-0.021560839242,0.154270397603,0.177076079274,0.140142306417,-0.032861077458,-0.543249652359,0.58470659588,0.126609964348,0.266611443325
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Colima<C1>",NA,0.008188169271,-0.000233390129,0.036989289472,-0.000338174186,0.022493553969,-0.03144398298,-0.011225006668,-0.004607449148,-0.030558440312,-0.037793113625,-0.020732984678,0.023236998427,0.005688339592,0.008633117016,0.000632139274,-0.001571804272,-0.011618530885,0.086758820846,0.05471802659,-0.019962997063
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Chiapas<C1>",NA,-0.061528102443,0.007768797756,-0.03861885285,0.04839431778,-0.010772074564,-0.017496104271,-0.097060785732,-0.063373158099,0.004974693882,0.008030749554,-0.004639900875,0.121646296951,0.040608130776,-0.031592699361,-0.015902027667,0.020062472578,-0.127653109547,0.092884233847,0.058045291136,0.081115888676
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Chihuahua<C1>",NA,0.149064544594,0.062472855766,0.215591234873,0.037937880995,0.302921888175,-0.539264413717,-0.019712100487,-0.032169393702,0.30524743697,-0.005542042086,0.102132909844,0.282755220599,0.054731130911,0.059354902697,-0.047501368579,-0.004033844838,-0.323693011889,0.321156970577,0.396699717805,0.194203515827
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Ciudad de México<C1>",NA,0.759465625483,0.530003987062,0.698565461174,-0.381013318514,0.627182384224,-1.371448988,-0.596611489152,0.090400311845,-0.006215123875,0.003052545666,-0.017269794003,0.722474062049,0.301824162144,0.462093280498,0.348416872926,-0.057823686881,-2.257824853348,1.474178795638,1.446282590165,0.627691512435
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Durango<C1>",NA,0.025880362454,0.005984644121,0.025587572083,-0.026669306396,0.111952040739,-0.103282270663,-0.07196050763799999,0.019113538002,0.0063003429,0.01194605883,0.000473177747,0.02246438234,0.032895151543,-0.031385119356,0.02975164591,0.012745727914,-0.11177048878,0.119795574602,0.02387146008,0.00979764688
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Guanajuato<C1>",NA,0.13232391391,0.069046692515,0.164806688996,-0.051594221981,0.178850906708,-0.332917749321,0.138686066111,0.165288201312,-0.02625741215,0.19727139919,0.479143978497,0.496340587882,0.214453130424,0.094485034534,-0.115142864156,-0.098197054009,-0.569137868656,0.592262614625,0.250704065788,0.218709294839
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Guerrero<C1>",NA,0.085842045224,0.095343546397,0.014956513084,-0.035499031139,0.093260429025,-0.155469780316,-0.132807148169,-0.032649077261,-0.013141768845,-0.036079245372,0.07951596854,-0.042857494186,-0.025368285809,-0.047012184378,0.061876721747,0.022192362912,-0.130001274985,0.132590552492,-0.013524316624,0.037461489547
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Hidalgo<C1>",NA,0.068733468514,0.026223282364,0.002102068216,-0.016112245736,0.069322213669,-0.116043600214,-0.077839781512,-0.011243399732,0.008612097774,-0.038018315791,0.033666804533,0.084700627686,0.028553513509,0.001568747233,0.090656268848,0.077222472952,-0.151847674929,0.191857148448,0.190521645508,0.045204632655
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Jalisco<C1>",NA,0.192900819242,0.402107614449,0.393320138696,-0.038012597674,0.58566745533,-0.968642812618,0.046936398851,-0.354332636943,0.386195379987,-0.035390402002,0.408039184345,0.477852347534,0.03922710635,0.114256329005,0.245368033854,0.360810621358,-1.408146834517,0.936616887481,0.636669541408,0.220334598937
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|México<C1>",NA,0.05221627278,0.851215285273,0.828805701011,-0.102196986119,0.337153560603,-1.319998895923,0.206038686622,0.257990582724,0.22759762127,-0.061762986958,-0.533193770039,-0.601180672513,0.23479471341,0.416288280804,0.18502168011,-0.237314433257,-1.250150025078,0.991399132443,0.297772530744,0.158828553162
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Michoacán de Ocampo<C1>",NA,0.090731762898,-0.069813786392,0.049494175003,-0.044919586142,0.11760646433,-0.161912835343,-0.140233833543,-0.003136192936,-0.032527097528,-0.054908039914,0.161465473169,0.254844032939,0.051513464415,0.013524746645,0.057645144987,0.006381843065,-0.16800683821,0.235846145621,0.097830659605,0.172420151177
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Morelos<C1>",NA,0.044616287337,0.04308897674,-0.00663151759,-0.004068241952,0.008685830834,-0.121899521897,-0.01374357683,0.053998037264,-0.00028871388,0.034690951601,0.025392251265,0.089245616039,0.033201681788,-0.013985011844,-0.046084949103,-0.033812248892,-0.160176893896,0.101059554755,-0.050592744352,0.05732331758
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Nayarit<C1>",NA,0.033105094106,0.070278173361,0.018560315626,-0.058964453858,0.042511559285,-0.035949145925,-0.033341334373,0.016306199367,-0.034408847334,0.016866932156,-0.041321566578,0.026333849456,0.021267890846,0.016129951819,-0.000114027112,0.037548785505,-0.100137129468,0.085800765722,0.092014937371,0.055779383682
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Nuevo León<C1>",NA,0.243590591021,-0.044159929851,0.559682109711,0.093617887105,0.186676400578,-1.045353485621,0.107302532073,-0.11603046103,-0.041894081239,-0.222059767121,0.305322119726,0.645533254777,0.389206825958,0.294005471525,0.64493042782,0.117028928399,-1.438696603678,1.055990751026,0.552288232404,0.311494494956
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Oaxaca<C1>",NA,0.014882631142,0.063122767057,0.055770735649,0.013662513234,0.081268238738,-0.120510898731,-0.291023255886,-0.007598448795,-0.072553913529,0.011741895403,0.004164158718,0.080516486949,0.045764834534,-0.116848715653,0.067966916851,0.019530633136,-0.141611092259,0.105969698168,0.138538882917,0.040125182373
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Puebla<C1>",NA,0.009753584126,0.248136963958,0.100161515691,0.060424677648,0.108499110797,-0.574355429642,0.000128847145,0.140479740581,0.109137934256,-0.151854284959,-0.009176960091,0.150928981733,0.058425221754,0.33134591782,-0.019029403914,0.01068598206,-0.544907149429,0.260021821103,0.219066253224,0.225034646606
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Querétaro<C1>",NA,0.163259332247,0.106680917346,0.120990197247,0.095847773902,0.003270552862,-0.327704427677,0.169863693869,0.226903652853,-0.00466500848,-0.070012977702,0.124589531347,0.223260761205,0.014359573985,-0.000333121444,0.129862970555,0.011700544458,-0.342725832531,0.301693226326,0.107618943711,0.184237128904
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Quintana Roo<C1>",NA,0.091585584025,-0.015342232108,0.086148127405,0.152448581866,0.147245105367,-0.197311069475,0.008256183362,0.035863010781,0.063729256937,0.011272643868,0.06281812626,0.193224620387,0.17157199023,0.08555957501,0.056650806569,-0.030736789472,-0.677861574372,0.466796255142,0.277681397665,-0.085385836723
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|San Luis Potosí<C1>",NA,0.11765841477,0.069984064569,0.053399643826,-0.038759520822,0.138228777246,-0.22378073046,-0.003498271175,0.146269848559,0.050306682964,0.029498590884,0.065659049731,0.117366787495,0.16415726771,0.184555849415,0.024659404141,-0.115141166987,-0.206748166563,0.095594434977,0.077537891028,0.3071738499
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Sinaloa<C1>",NA,0.022573141538,0.072112408813,0.086572567835,-0.011256473745,0.134792975741,-0.196304845747,-0.134130322925,-0.040506512237,0.012498227473,-0.060335070229,-0.005788137289,0.097350231054,0.05068201546,0.018248133122,0.052640761461,0.000088716651,-0.216296373923,0.224210629145,0.059150183558,0.007570653286
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Sonora<C1>",NA,0.119620458632,0.164761996679,0.514685512496,-0.037800873346,0.252603023789,-0.557105444159,0.033489490794,0.090783020958,-0.000434270462,0.050383746813,0.039265087099,0.196257777195,-0.022708140651,-0.145542104785,-0.028930352082,0.007752193002,-0.491560050139,0.504723721484,0.401682608157,0.358008325361
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Tabasco<C1>",NA,0.018491571452,0.05001693182,0.067693279314,-0.060837162444,0.092141371085,-0.112982996523,-0.070931777083,0.00386806373,0.006308873689,-0.010429954721,-0.000985352203,0.164324187242,-0.043114519315,-0.031809973377,-0.030594707835,-0.022972931305,-0.150993970305,0.292309467672,0.09861298303,-0.015996031138
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Tamaulipas<C1>",NA,0.139384586212,0.139726495452,0.183122655792,0.005821891134,0.18084906133,-0.452482272027,-0.10403374763,-0.029785468399,0.104740312684,-0.081523972948,0.160335541332,0.221567858553,0.050785147897,0.046075550708,0.119735225526,0.132048826323,-0.317226059864,0.278660509363,0.106227571143,0.046368638972
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Tlaxcala<C1>",NA,0.066841487859,-0.064728133039,0.044193724533,-0.033402903441,0.023708857417,-0.06910508613,-0.002900128558,0.008186826036,-0.015688120408,-0.009210935135,0.059287288234,0.0715580414,0.01176815648,0.020777708992,0.02115513332,-0.00284599334,-0.075355847576,0.054659537957,0.010995786769,0.030132846981
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Veracruz de Ignacio de la Llave<C1>",NA,0.04325686014,-0.024782964775,0.136532050866,-0.05059894709,0.209402819739,-0.393996828247,-0.178417346848,-0.065441200775,-0.037864616517,-0.166185873776,0.2066924584,0.212463727576,-0.037002837043,-0.084775321567,0.00079151004,0.103979215487,-0.403076076697,0.37372241546,0.133754521076,0.10581110651
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Yucatán<C1>",NA,0.042271681916,0.065280717189,0.052543651833,0.001547609819,0.047886218391,-0.13930213858,-0.03433117943,0.027382398694,-0.01740707433,-0.048679433654,0.047700932874,0.059097621954,0.046355777663,0.078635407855,0.131778248821,0.013379023596,-0.172080298731,0.166895189904,0.078133795226,0.083025575993
"Contribución a la variación nacional en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Zacatecas<C1>",NA,0.066470801422,0.16641540575,0.091357589636,0.024673396504,0.122499895896,-0.074914616065,0.12104601992,-0.235299993789,-0.001062438642,-0.202982189494,0.238728563841,0.105551336772,-0.00902478451,0.000506492008,0.182969899367,-0.070024452044,-0.152209748419,0.097152361436,0.021572926939,-0.067810623766
"Índice de volumen físico base 2018=100|D.21-D.31---Impuestos sobre los productos, netos|Estados Unidos Mexicanos<C1>",84.014191628216,86.579621244579,89.574947809475,94.496902888652,94.091164957797,98.098249599439,86.246418385607,85.786565983439,86.363325213493,87.546512179522,86.787653350281,88.920855901354,93.686660311188,95.791991405745,97.657723459782,100,100.404681772934,86.496818294716,96.332417790281,102.332048722872,106.658779613098
"Índice de volumen físico base 2018=100|D.21-D.31---Impuestos sobre los productos, netos|Aguascalientes<C1>",60.863286724329,63.527328529424,65.647688631392,72.516039104131,78.414274918242,78.943242137106,67.402600113599,71.844997311347,74.843710913131,77.71778446385,79.187237870878,89.708142778573,95.869327010387,98.382701060606,97.760036054379,100,100.795229315068,89.138102490373,93.931924781542,93.679467246137,105.272373911005
"Índice de volumen físico base 2018=100|D.21-D.31---Impuestos sobre los productos, netos|Baja California<C1>",85.083252824768,86.484690915695,91.817845688145,101.735669872635,100.593110359083,99.324632179831,80.484263472794,81.48748668305,81.327450395153,84.520533981062,84.492343425841,87.099907682051,90.828999040034,94.806729487732,97.474216482386,100,103.481047714752,91.272581097756,101.368608167411,108.124235269088,114.823039241768
"Índice de volumen físico base 2018=100|D.21-D.31---Impuestos sobre los productos, netos|Baja California Sur<C1>",59.937549370846,64.976811226059,73.194159112333,80.444920330382,87.860089245244,89.29407404507,83.168797289041,78.750874615758,78.159178278227,79.869883857101,76.173172781123,77.668504060245,85.086970239908,89.705169210966,94.276013385594,100,97.716307892079,71.398603196199,98.164529825767,107.329092949569,110.762250613167
"Índice de volumen físico base 2018=100|D.21-D.31---Impuestos sobre los productos, netos|Campeche<C1>",72.17344981215,73.977083410241,80.380979075868,82.988401883497,79.673921601232,84.038839049304,77.415508374107,72.788022470337,71.578271414896,68.820573031262,67.574548936425,69.506929500827,137.613453976308,126.012615090129,110.699827912686,100,102.30052305701,55.631887562507,98.459849578504,95.688822404651,109.535213977719
"Índice de volumen físico base 2018=100|D.21-D.31---Impuestos sobre los productos, netos|Coahuila de Zaragoza<C1>",83.948104089821,86.477353481043,85.552208077016,91.046385570394,89.987484514282,90.978201761237,63.874946397239,75.300583632963,82.071398637085,86.316994532741,87.608120481238,90.349575407139,89.921135770039,93.150973500222,96.94158648805,100,99.265651611657,87.07649188548,98.378574372025,101.104165418994,107.201089706136
"Índice de volumen físico base 2018=100|D.21-D.31---Impuestos sobre los productos, netos|Colima<C1>",108.619189867966,110.863691792261,110.797762459092,121.608194968538,121.503929969176,128.409307729482,118.345106130451,115.186407489853,113.896791672822,105.286040158551,94.490806701605,88.619966096348,95.3615847078,97.100361321792,99.798581254836,100,99.487163436138,95.681015206564,120.165687199994,137.363903377094,130.698630582897
"Índice de volumen físico base 2018=100|D.21-D.31---Impuestos sobre los productos, netos|Chiapas<C1>",108.908531010477,103.874794353842,104.529783063949,101.161176815414,105.614418480421,104.627429023584,102.956080841229,94.804362067571,89.510300953726,89.928670470968,90.613305708081,90.221174899264,100.754532884478,104.459250187243,101.512249388947,100,101.95365904805,89.472650537023,97.296247199573,102.74132101098,110.824494802105
