Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<P>
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Morelos<C1>",14583.471,15071.897,15558.007,15480.605,15430.512,15537.003,13978.829,13824.377,14427.978,14424.729,14820.467,15107.619,16141.673,16546.986,16372.426,15785.993,15345.411,13249.82,14388.837,13753.779,14518.135
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Nayarit<C1>",6465.367,6827.777,7620.623,7837.256,7111.216,7632.421,7172.903,6798.209,6980.483,6593.268,6785.678,6318.387,6623.507,6883.137,7084.47,7083.019,7572.289,6262.197,7229.236,8384.24,9128.009
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Nuevo León<C1>",97075.183,99741.832,99243.64,105776.159,106928.893,109217.604,95855.43,97061.309,95764.297,95292.848,92759.695,96212.475,103692.016,108443.299,112113.056,120319.824,121844.74,103022.302,114924.11,121856.627,126010.132
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Oaxaca<C1>",18160.049,18322.973,19035.095,19686.042,19854.271,20850.645,19310.221,16039.666,15954.729,15138.254,15272.2,15319.291,16252.204,16810.883,15352.385,16217.267,16471.756,14619.061,15813.419,17552.408,18087.442
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Puebla<C1>",39699.846,39806.621,42605.988,43775.057,44519.077,45849.31,38507.643,38509.091,40079.402,41307.57,39575.288,39471.509,41220.264,41933.496,46069.334,45827.184,45966.425,38837.416,41768.057,44517.854,47518.493
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Querétaro<C1>",25828.426,27615.668,28819.193,30231.371,31411.562,31451.66,27262.796,29171.745,31708.12,31655.623,30856.948,32265.887,34852.722,35028.018,35023.86,36676.372,36828.833,32344.958,35745.267,37096.138,39552.778
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Quintana Roo<C1>",15390.909,16393.52,16220.436,17225.943,19103.07,20908.341,18386.223,18479.007,18879.891,19597.059,19725.652,20436.04,22674.858,24769.341,25837.29,26558.174,26157.666,17289.217,22550.361,26035.916,24897.371
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|San Luis Potosí<C1>",18339.477,19627.514,20417.042,21040.314,20563.061,22257.789,19397.324,19358.01,20993.044,21559.163,21895.669,22638.184,23998.067,26002.034,28305.648,28619.44,27119.122,24414.24,25491.661,26464.944,30560.837
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Sinaloa<C1>",20860.867,21107.981,21921.52,22931.981,22793.378,24445.982,21936.726,20429.353,19976.563,20117.21,19428.936,19363.48,20491.439,21110.145,21337.917,22007.773,22008.929,19179.128,21706.15,22448.624,22549.572
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Sonora<C1>",31632.23,32941.746,34800.515,40807.841,40342.392,43439.384,36318.214,36694.573,37709.364,37704.477,38279.231,38723.266,40997.228,40720.016,38903.369,38535.229,38636.242,32205.172,37893.787,42935.849,47709.575
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Tabasco<C1>",13365.23,13567.662,14131.93,14922.035,14172.936,15302.618,13858.419,13061.279,13104.517,13175.513,13056.533,13045.39,14949.35,14423.025,14025.975,13636.656,13337.313,11361.862,14656.409,15894.234,15680.941
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Tamaulipas<C1>",30372.242,31898.121,33474.451,35611.829,35683.515,37900.781,32116.951,30947.807,30614.859,31793.539,30863.552,32676.73,35243.95,35863.915,36439.027,37962.663,39683.292,35533.03,38673.743,40007.149,40625.434
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Tlaxcala<C1>",7818.664,8550.395,7820.162,8335.984,7924.688,8215.366,7332.034,7299.442,7390.956,7214.412,7109.338,7779.797,8608.912,8752.573,9011.919,9281.119,9244.035,8258.156,8874.21,9012.233,9414.028
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Veracruz de Ignacio de la Llave<C1>",47622.878,48096.422,47816.832,49410.412,48787.378,51354.722,46318.479,44313.403,43581.888,43155.784,41260.014,43597.426,46059.16,45607.444,44549.284,44559.356,45914.231,40640.795,44852.927,46531.861,47942.759
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Yucatán<C1>",13242.664,13705.423,14441.89,15055.171,15074.227,15661.327,13880.705,13494.887,13800.973,13605.085,13049.773,13589.206,14273.947,14839.84,15821.362,17498.246,17672.578,15421.255,17302.289,18283.052,19390.125
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Zacatecas<C1>",13109.432,13837.105,15714.527,16780.838,17084.646,18586.533,17628.941,18989.271,16359.04,16347.084,14031.559,16731.256,17954.238,17844.067,17850.389,20178.689,19266.253,17274.896,18369.876,18640.667,17736.472
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Estados Unidos Mexicanos<C1>",NA,3.053566982726,3.45962077662,5.494789781676,-0.429366379693,4.258725719295,-12.081592956272,-0.533184346407,0.672318822234,1.370010896527,-0.86680646704,2.457956251522,5.359602493166,2.247204764866,1.947691061285,2.398454988747,0.404681772934,-13.851807737084,11.371053513267,6.228049778271,4.228128865028
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Aguascalientes<C1>",NA,4.377091590801,3.33771331339,10.462440667644,8.133698264519,0.674580259035,-14.618910638941,6.590839508061,4.173865563372,3.840100277838,1.890755658008,13.286111740442,6.868032311205,2.621666521083,-0.632900905865,2.29128797004,0.795229315068,-11.565157303484,5.377972109835,-0.268766488062,12.375077491003
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Baja California<C1>",NA,1.647137414708,6.166588231955,10.801630238827,-1.123066781771,-1.26099906318,-18.968475687809,1.246483681365,-0.196393697255,3.926206428942,-0.033353498722,3.086154496944,4.281395304799,4.379361756419,2.813605119666,2.591232439473,3.481047714752,-11.79778025697,11.061401954703,6.664417341629,6.195469457896
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Baja California Sur<C1>",NA,8.407520674617,12.646585345171,9.906201951061,9.217696884289,1.632123085857,-6.859667700835,-5.311995384434,-0.75135208392,2.18874560424,-4.62841674165,1.963068130849,9.551447230022,5.427621829802,5.095407784002,6.071519582606,-2.283692107921,-26.932766150913,37.488025579459,9.335921172412,3.198720467348
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Campeche<C1>",NA,2.499026446408,8.656593867205,3.243830614663,-3.993907831746,5.478476972577,-7.881273408968,-5.977466273822,-1.662019401522,-3.85270324237,-1.810540133502,2.859627766395,97.985229623286,-8.430017960436,-12.151789062143,-9.665622896113,2.30052305701,-45.619156285736,76.984556685904,-2.814372747588,14.470228836671
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Coahuila de Zaragoza<C1>",NA,3.012872558164,-1.069812345991,6.422017171587,-1.163034698718,1.100950040223,-29.790933255779,17.887509704772,8.991716501329,5.17305171614,1.495795764769,3.129224677851,-0.474202158859,3.591856021974,4.06932192482,3.1549035071,-0.734348388343,-12.279332808757,12.979487622686,2.770512852384,6.030339365224
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Colima<C1>",NA,2.066395382826,-0.059468823475,9.756905075983,-0.085738464738,5.683254658559,-7.837595091029,-2.669057254566,-1.119590275566,-7.560135266151,-10.253242918709,-6.213134176955,7.607336030938,1.823351215607,2.778794946089,0.201825259068,-0.512836563862,-3.825768167585,25.58989569725,14.31208573582,-4.85227387278
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Chiapas<C1>",NA,-4.621985633201,0.630555963245,-3.222628182892,4.402125207709,-0.934521508557,-1.597428320616,-7.917666161194,-5.584195704067,0.467398179633,0.761309194863,-0.432751907408,11.675039697693,3.676973329838,-2.821196584327,-1.489721090853,1.95365904805,-12.241844606229,8.744120818588,5.59638626168,7.867500350965
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Chihuahua<C1>",NA,4.851763337244,1.99849883613,6.995531926487,1.213746754562,9.534050232578,-16.155180259828,-0.619222211374,-1.011421824577,9.760373937338,-0.163662117267,2.994846075229,8.248018541447,1.553916171751,1.696697931183,-1.361208329143,-0.12000057441,-9.679945059184,9.160494048367,11.544370891757,5.382165122555
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Ciudad de México<C1>",NA,4.430671870723,3.051234310482,4.037580702721,-2.233032429868,3.743586314689,-8.226683950528,-3.428468420131,0.535066258539,-0.036836633153,0.018346862735,-0.102878879202,4.414220697884,1.860802404784,2.859698577367,2.137085666589,-0.355580940497,-13.990200188124,9.149177884047,9.158765271964,3.868215140063
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Durango<C1>",NA,2.396455817791,0.557719084573,2.453362503298,-2.632989697004,11.302874075577,-9.767618428674,-6.630931127694,1.876275336808,0.611162481899,1.167563405054,0.045316665337,2.203317275538,3.326010226398,-3.14019962444,3.13312912614,1.332683896014,-11.579613799329,12.092092511646,2.394070970502,1.019399036556
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Guanajuato<C1>",NA,3.40845579788,1.772430373244,4.30072699302,-1.361795151895,4.765275050439,-8.827319213394,3.54600870365,4.059697487636,-0.623923370375,4.781576446326,10.987709838335,10.507314627212,4.328400455729,1.868989946617,-2.279378048791,-2.036971598385,-12.100289465292,12.341027493214,5.178837852649,4.562984750319
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Guerrero<C1>",NA,7.182652945561,7.670340691366,1.156188119894,-2.861891753229,7.706829328067,-12.436365820965,-10.666574902146,-2.919703007232,-1.218710534719,-3.433515314025,7.768346195224,-3.980663473038,-2.585444582994,-5.029005765158,7.10534890959,2.436373694693,-13.989034327091,14.290421856692,-1.420398781296,4.239670981515
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Hidalgo<C1>",NA,4.628364322247,1.73924162483,0.141775785193,-1.144793237218,4.961067349318,-8.2491284955,-5.302224293556,-0.804437994313,0.62534791289,-2.781043134688,2.511220736003,6.314571766482,2.109590493607,0.116058375211,6.829595868586,5.576255808577,-10.427851499987,12.671786698871,12.438308927359,2.788206035198
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Jalisco<C1>",NA,2.370504351606,4.97435948608,4.795442664976,-0.466550525434,7.190919727645,-11.567817403287,0.557271710319,-4.161339226039,4.764292027036,-0.42244775469,4.848942471198,5.549074032658,0.454708176529,1.348055910433,2.912108777359,4.260846125586,-16.013903204039,10.925718589134,7.456622841942,2.551037388743
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|México<C1>",NA,0.46109871194,7.710677856931,7.211373646151,-0.87497069484,2.899553403282,-11.502065912561,1.783601114319,2.182494801983,1.896927154235,-0.512105725571,-4.405196292017,-5.323492069625,2.313725367688,4.099540912402,1.784400105417,-2.302533486322,-12.465640520662,9.729009102906,2.965893674056,1.632094648094
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Michoacán de Ocampo<C1>",NA,4.128955276593,-3.14422444517,2.381067985375,-2.226715888456,5.93705843166,-8.044256505363,-6.661290739125,-0.158754037344,-1.660226716543,-2.888938639463,8.672263054979,12.90488741289,2.43423156918,0.637935250564,2.754392800234,0.3038801035,-8.007912788244,10.527296500986,4.400133307731,7.890727202612
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Morelos<C1>",NA,3.349175240929,3.225274164228,-0.497505882341,-0.323585544622,0.690132641094,-10.028793841386,-1.10489941611,4.366207605594,-0.022518747949,2.743469218728,1.937536786122,6.844586165431,2.510972685421,-1.054935321756,-3.581833260385,-2.790967916938,-13.65614123988,8.596471499235,-4.413546417963,5.5574253447
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Nayarit<C1>",NA,5.605404921329,11.612066416346,2.842720339269,-9.263956670549,7.329337204776,-6.020606043613,-5.223742744047,2.681206182393,-5.54710898945,2.918279675572,-6.886430508492,4.829080586548,3.919826762469,2.925018054994,-0.020481419217,6.907647713496,-17.30113575961,15.44248767645,15.976847345971,8.871036611547
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Nuevo León<C1>",NA,2.746993533867,-0.499481501403,6.582304921504,1.089786215436,2.140404651903,-12.234450775902,1.258018455501,-1.336281174613,-0.492301426282,-2.658282392819,3.722284770341,7.773982531891,4.582110738401,3.384032977455,7.320082328324,1.267385497505,-15.447887204651,11.552651968503,6.032256416865,3.408517946258
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Oaxaca<C1>",NA,0.897156169568,3.886498113598,3.419720258817,0.854559794193,5.018436587271,-7.387896153812,-16.936911286515,-0.529543445605,-5.117448249983,0.884818024589,0.308344573801,6.089792275635,3.437558376698,-8.675915476897,5.633535115228,1.569247148734,-11.247707894653,8.169868092075,10.996919767952,3.048208542099
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Puebla<C1>",NA,0.268955703254,7.032415537104,2.743907734284,1.699643703491,2.988006692052,-16.012600843939,0.00376029247,4.077766987541,3.064337137565,-4.193618748331,-0.262231825072,4.430423473296,1.730294594911,9.862850452536,-0.52562079582,0.303839310746,-15.509165657325,7.545921695717,6.58349273944,6.740304687643
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Querétaro<C1>",NA,6.919670598588,4.358123801315,4.900130270823,3.903861984956,0.127653632761,-13.318419441136,7.002029432344,8.694628998025,-0.165563268967,-2.523011472559,4.566034852183,8.017244342299,0.502962150273,-0.011870497497,4.718246361195,0.415692697195,-12.174903831463,10.512640022596,3.779160468993,6.622360527125
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Quintana Roo<C1>",NA,6.514306594887,-1.055807416589,6.199013392735,10.897092832596,9.450161675584,-12.062736110914,0.504638717805,2.169402284441,3.798581252402,0.656185195952,3.601341035521,10.955243775213,9.23702807753,4.311576153762,2.790091375682,-1.508040424767,-33.903823835047,30.430203982054,15.456759206649,-4.372978465593
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|San Luis Potosí<C1>",NA,7.023302791023,4.022557314187,3.0527046964,-2.268278885952,8.241613444613,-12.851523572265,-0.202677441486,8.446291741765,2.696698011017,1.560849092333,3.391150094569,6.007032189508,8.350535066012,8.859360771546,1.1085844069,-5.24230383264,-9.974076594368,4.413084331112,3.818044653897,15.476673595077
