Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,3508.826,3169.513,3432.646,3179.608,4077.717,4628.086,5258.442,7996.259,9907.924,10699.826,14605.369,13328.427,9191.804,11081.118,12168.435,8001.747,7053.176,10339.979,10127.277,10504.72,4526.642,
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|22---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final<C1>",12683.568,14098.341,14129.121,17163.252,19030.037,18742.904,18360.976,18860.116,18106.257,18516.488,18924.782,20010.183,20594.653,20739.93,21986.686,22183.946,21991.226,23197.494,18754.152,18553.763,17779.487,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|23---Construcción<C1>,73674.566,81114.892,86433.424,88401.429,98812.875,112625.827,96165.885,100563.849,113765.184,109339.646,107323.709,99398.43,114527.595,114729.767,121417.352,115187.063,104818.791,91398.223,94844.592,97823.519,99807.682,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras<C1>,274854.059,268685.58099999995,275806.694,292564.129,289526.773,277322.48099999997,263795.224,279758.052,276418.115,294947.16500000004,301218.144,328700.37,347091.336,348881.62799999997,351273.901,357475.92600000004,367117.443,333826.00700000004,357147.18600000005,390172.192,397457.07,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,70931.269,71852.861,73591.276,75048.517,74783.499,75931.556,74640.688,77000.435,77890.203,80753.79,82935.92,85954.078,90849.386,91823.675,91877.295,96608.423,99003.124,100130.841,102607.92,105846.198,101686.369,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,20709.818,22640.442,25123.721,26098.118,26596.654,30312.726,29738.597,30470.787,28589.499,31778.016,34363.471,37452.143,38524.286,38753.301,40768.107,42532.632,47523.011,40752.498,44916.471,47554.771,45782.605,
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",2295.554,2410.089,2203.314,2319.917,2049.184,1693.617,1501.674,1520.649,1469.605,1632.101,1605.591,1736.8759999999997,1720.672,1789.363,1579.708,1772.4989999999998,1897.753,1673.425,1866.672,1813.145,1672.226,
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",10185.087,10023.863000000001,9936.708999999999,9785.184000000001,9282.798,8094.984,7716.5,7820.924,7311.448,7046.668,6314.996,6230.002,6059.111,5541.716,4990.891,4829.738,4507.222,3717.039,4066.977,4132.475,4233.337,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,3402.537,3521.375,2884.111,2946.823,3131.364,3009.867,2721.416,2418.078,2324.01,2674.653,1918.054,2017.743,2160.212,2070.256,2036.982,2132.587,2047,1883.123,1972.536,2060.988,1958.057,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,4231.049,4171.754,4358.053,4807.845,5038.902,5303.571,5633.219,6577.183,7852.738,7603.88,5562.46,5806.571,6436.261,7245.879,7624.329,7429.715,7195.261,7101.813,7821.777,8055.335,7387.15,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,38620.747,39418.945,40963.520000000004,42281.924,39424.932,38453.225,33990.712999999996,34659.368,34805.705,37595.436,35585.723,36741.229,39114.461,40920.143,42489.037000000004,44840.957,46095.709,43311.586,48388.944,54641.659,58534.298,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,3832.92,4063.441,4330.893,4644.839,4405.763,4351.1,4220.992,4426.077,4767.49,5152.059,4542.165,4540.831,4743.813,5330.889,5464.685,5252.221,5189.59,4825.274,5339.989,4501.167,4205.01,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,22419.619,25113.226000000002,22764.744,22735.585,21743.968,20950.292,18766.488,21944.177,22577.632,22678.768,20118.497,22441.010000000002,23356.934999999998,23035.963,23121.592,21969.214,20715.365,18788.513,20307.696,19722.509,19183.548,
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",89707.79499999998,76505.13799999999,80337.049,92392.023,93513.649,80141.018,76156.633,83749.991,79037.002,88189.125,98624.15,115922.044,123612.843,121814.032,121388.644,120195.19099999999,123334.005,103074.445,109723.399,131847.672,143547.018,
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",5282.616,5736.801,5736.572,5677.838,5509.642,5459.956,5049.955,5516.581,5859.033,5717.25,5312.91,5197.806,5673.33,5710.047,5271.88,5107.505,4971.739,4775.389,5463.304,5493.984,4741.008,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,3235.048,3227.646,3576.732,3825.516,4046.418,3620.569,3658.349,3653.802,3933.75,4125.419,4334.207,4660.037,4840.026,4846.364,4660.751,4805.244,4637.664,3792.061,4671.501,4502.289,4526.444,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias<C1>,694583.773,716883.1819999999,730771.5959999999,765219.648,789696.2460000002,806750.4930000002,767174.9500000002,814314.44,846858.665,874699.3820000001,892073.4799999999,910826.8620000002,937715.7470000002,981350.3179999999,998666.541,1042080.778,1049824.386,964863.183,1021534.1739999998,1058117.0539999998,1090669.762,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|43---Comercio al por mayor<C1>,133524.936,138021.732,141468.53,153029.95,159466.798,161837.247,147637.481,163788.608,176766.787,184713.596,187169.039,200905.3,210853.643,224237.263,224776.642,243326.725,244473.87,228941.03,245583.05,261782.227,272151.501,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|46---Comercio al por menor<C1>,116581.324,122485.951,126287.391,130883.854,131543.08,131838.494,118851.425,131480.317,138897.35,140253.88,142034.382,141440.135,139047.5,146472.782,145438.423,153879.946,152111.898,138850.196,147713.655,157827.891,166808.784,
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",66456.232,69182.959,70191.902,73145.432,75200.452,73509.394,69076.068,74700.461,76463.387,78906.365,81391.857,85475.858,90787.324,95612.641,99081.094,104286.508,104149.584,85618.865,100914.549,115686.505,119525.072,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|51---Información en medios masivos<C1>,3486.665,3953.843,4423.596,5004.542,5948.158,6431.639,6674.358,6864.413,7169.912,8349.876,8620.361,9097.966,10815.349,13198.247,14170.54,15497.267,15974.881,14264.424,15127.665,16434.257,18238.337,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|52---Servicios financieros y de seguros<C1>,14635.389,18003.591,15748.979,17532.115,18788.764,22991.802,24407.242,29440.072,28995.616,30657.96,35558.672,35728.261,38841.392,43082.209,48536.643,50365.047,52805.301,51218.818,53859.282,58489.004,62818.945,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,108904.256,112442.711,115139.251,119618.101,123665.825,127783.976,129646.222,133863.343,137960.924,142049.649,143402.409,146875.971,150860.501,154339.673,156558.679,159994.438,163124.035,164689.434,169590.368,172642.697,176187.078,
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",22479.676,21335.434,22461.864,23321.17,24732.118,28080.925,23544.389,24196.84,25752.485,25684.53,26175.868,28160.724,29188.733,28853.427,30648.184,31565.556,30058.058,30549.198,33588.243,35023.154,36202.95,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|55---Corporativos<C1>,272.029,265.433,253.845,272.517,281,276.651,285.982,304.175,317.247,333.211,318.428,338.783,358.346,391.997,408.085,405.189,420.352,423.668,469.21,527.632,527.68,
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación<C1>",40682.394,43081.389,44129.555,48847.1,52154.83,55931.98,49375.62,48758.676,50818.821,50708.442,51785.586,50112.823,50154.925,51517.389,55100.288,56331.742,58037.979,56084.279,45521.514,17644.686,17452.047,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|61---Servicios educativos<C1>,48688.906,49540.2,49602.535,49186.938,50325.488,49889.685,50494.079,51447.874,51580.901,52781.478,53697.201,52802.383,52166.641,53169.944,52101.242,51569.956,50783.389,49170.554,48464.012,50045.347,51065.009,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,27653.459,27666.634,26554.463,28112.332,28752.494,28495.621,28995.881,28796.342,30067.65,31455.556,31625.416,31421.532,30054.207,32355.862,32797.108,35241.084,37486.71,34591.479,37128.156,37730.612,37630.214,
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",7864.724,8016.458,8052.09,8440.958,8926.045,9017.486,8638.801,8932.284,8990.198,9209.439,9464.12,9438.562,9779.31,10228.345,10495.791,10655.052,10568.833,6143.098,7831.652,11232.254,11767.164,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,35605.003,33998.244,36601.092,37659.646,37862.011,37866.604,35058.248,34607.616,35390.199,36487.829,38280.484,36514.422,41682.667,42592.25,43182.17,43615.969,43791.262,24017.931,35118.108,42106.521,37566.284,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,33269.574,34562.803,35481.664,35913.662,37376.383,38203.555,37934.593,38082.034,38064.974,39800.253,39761.987,40172.64,40816.172,42718.716,42862.713,43489.872,44184.955,38674.028,39453.781,40040.875,41488.502,
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales<C1>",34479.206,34325.8,34374.839,34251.331,34672.8,34595.434,36554.561,39051.385,39622.214,43307.318,42787.67,42341.502,42309.037,42579.573,42508.939,41856.427,41853.279,41626.181,41170.929,40903.392,41240.195,
Variación porcentual anual en valores constantes|B.1bP---Producto interno bruto<C1>,NA,2.865122772,2.241912009,5.110403692,2.994002488,2.021107325,-6.572202234,5.944097192,2.834951827,3.867707255,1.710030416,3.538441691,3.770213159,3.053197982,1.89220517,2.695299654,0.737883947,-8.087406604,5.434906161,4.970830489,2.056610147,
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos",NA,2.370504352,4.974359486,4.795442665,-0.466550525,7.190919728,-11.5678174,0.55727171,-4.161339226,4.764292027,-0.422447755,4.848942471,5.549074033,0.454708177,1.34805591,2.912108777,4.260846126,-16.0139032,10.92571859,7.456622842,2.551037389,
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,NA,2.904356121,2.026297487,5.135975069,3.274051373,1.617888345,-6.161201129,6.361749441,3.347786991,3.806761868,1.856322799,3.450549992,3.649297149,3.233064741,1.928857317,2.680779301,0.501409109,-7.535446959,5.08761416,4.804870369,2.022765265,
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,NA,12.49829656,-4.465140453,6.717572938,8.163845508,2.258650621,-13.39922852,9.88799335,-0.120259689,10.32265313,-0.098363956,12.79001506,-3.441109569,1.654561189,1.667655066,3.66909005,2.392895677,2.65457067,-1.024043961,4.245938575,-0.967270067,
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",NA,12.49829656,-4.465140453,6.717572938,8.163845508,2.258650621,-13.39922852,9.88799335,-0.120259689,10.32265313,-0.098363956,12.79001506,-3.441109569,1.654561189,1.667655066,3.66909005,2.392895677,2.65457067,-1.024043961,4.245938575,-0.967270067,
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",NA,22.62609009,-5.480296986,4.819057036,13.6307579,4.561847198,-25.46615624,14.19691066,1.580891614,14.37837184,2.711210628,24.27440212,-7.605740464,0.975094905,1.215150542,3.735612434,2.248745646,2.113962648,-4.017409811,7.040338742,-4.100705232,
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",NA,3.282581678,0.25586766,6.161157502,3.515003393,0.056790553,2.272194965,3.217273549,1.444195996,-0.270676868,3.769810588,1.021222475,1.452125531,3.007311343,2.006948589,3.485267413,2.613806526,3.45907206,2.406647647,1.256408015,2.695596973,
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",NA,35.4388464,-23.31325134,-1.096005775,261.7523629,-59.4637399,-38.58252041,8.001080497,-35.82362063,11.54955376,127.5709669,7.638574378,-2.064553857,12.63170925,8.007059919,-8.295173619,-7.71394816,-38.49984086,-32.05561689,-21.26643985,51.28023218,
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",NA,11.59423912,-55.58968736,88.02290863,-18.13338505,5.932918259,-49.78183468,145.6217804,-57.57729603,314.9092331,-75.91962636,-3.871056541,21.86578123,-21.99701515,10.41095345,11.21886983,1.461375331,-0.006494259,0.235407202,6.431779101,-9.586708589,
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,NA,0.643589998,3.468988486,5.662566156,2.526481764,0.4549539,-7.195108272,6.151967407,2.706235732,3.659908472,1.976659107,4.380599953,6.494483835,0.819497527,2.303831968,-0.788738404,-0.371492671,-8.427258454,4.819823419,7.524018072,0.486735632,
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,NA,-9.670271481,8.30200097,-7.371514569,28.24590327,13.49698863,13.62023091,52.06517444,23.90699201,7.992612781,36.50099544,-8.742962947,-31.03609301,20.55433297,9.812340235,-34.2417739,-11.85454876,46.60032587,-2.057083482,3.726993939,-56.90849447,
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,NA,-9.670271481,8.30200097,-7.371514569,28.24590327,13.49698863,13.62023091,52.06517444,23.90699201,7.992612781,36.50099544,-8.742962947,-31.03609301,20.55433297,9.812340235,-34.2417739,-11.85454876,46.60032587,-2.057083482,3.726993939,-56.90849447,
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|22---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final<C1>",NA,11.15437706,0.21832356,21.47430827,10.87663923,-1.508840997,-2.037720515,2.718482939,-3.997106911,2.265686387,2.205029377,5.735342156,2.920862843,0.705411254,6.011379981,0.89717932,-0.868736338,5.485223971,-19.15440521,-1.068504724,-4.173148056,
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|23---Construcción<C1>,NA,10.09890713,6.55678861,2.276902741,11.77746346,13.978899,-14.61471355,4.573309963,13.12731676,-3.890063589,-1.843738364,-7.384462458,15.22072834,0.176526889,5.828988566,-5.131300343,-9.001246954,-12.80358977,3.77071773,3.140850667,2.028308755,
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras<C1>,NA,-2.244273933,2.650351751,6.075789807,-1.038184691,-4.215255078,-4.87780758,6.051219487,-1.193866263,6.703269068,2.126136388,9.123695417,5.595054852,0.515798527,0.685697614,1.765580928,2.697109455,-9.068334026,6.986028204,9.2468896,1.867093081,
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,NA,1.299274654,2.419409576,1.980181727,-0.353128897,1.535174223,-1.700041548,3.161475414,1.155536329,3.67644054,2.702201346,3.639144535,5.695259741,1.072422218,0.058394526,5.149398445,2.478770407,1.139072137,2.4738422,3.155972755,-3.930069363,
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,NA,9.322264445,10.96833269,3.878394446,1.910237359,13.97195301,-1.894019693,2.46208656,-6.174070922,11.15275577,8.135986211,8.988242195,2.862701341,0.594469162,5.199056462,4.328199492,11.73305945,-14.24680982,10.2177123,5.873791821,-3.72657877,
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",NA,4.989427389,-8.57955868,5.29216444,-11.66994336,-17.35163851,-11.33331798,1.263589834,-3.356724662,11.05712079,-1.624286732,8.176739904,-0.932939369,3.992103085,-11.71673942,12.20421749,7.066520207,-11.82071639,11.54799289,-2.867509664,-7.772075592,
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",NA,-1.582941805,-0.869465195,-1.524901253,-5.134149751,-12.79586176,-4.675537345,1.35325601,-6.514268647,-3.62144407,-10.38323361,-1.345907424,-2.743032827,-8.539123974,-9.939610763,-3.228942487,-6.677712124,-17.53148613,9.414429066,1.610483659,2.44071652,
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,NA,3.492629176,-18.09702176,2.1743962,6.262371374,-3.880002453,-9.583513159,-11.1463297,-3.89019709,15.08784386,-28.28774424,5.197403201,7.060810024,-4.164220919,-1.607240844,4.693463172,-4.013294651,-8.005715681,4.748123197,4.484176715,-4.994255182,
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,NA,-1.401425509,4.46572353,10.32093919,4.805832967,5.252513345,6.215585687,16.7570975,19.39363706,-3.169060269,-26.84708333,4.388543918,10.84443814,12.57901132,5.222968808,-2.552539378,-3.155625754,-1.298743715,10.13774933,2.98599666,-8.294937454,
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,NA,2.06675961,3.918357024,3.218483177,-6.757005665,-2.464701778,-11.60503963,1.96716968,0.422214854,8.015154412,-5.345630252,3.247105588,6.459315773,4.61640517,3.83403841,5.535357273,2.798227522,-6.039874558,11.72286325,12.92178436,7.123939996,
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,NA,6.014239796,6.581909273,7.248989989,-5.147132118,-1.240715853,-2.990232355,4.858691985,7.713670594,8.066487816,-11.83786909,-0.029369255,4.470150948,12.3756143,2.509825284,-3.887945966,-1.192466958,-7.020130685,10.66706264,-15.70830951,-6.579560367,
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,NA,12.01450836,-9.351574346,-0.128088416,-4.361519618,-3.650097351,-10.42374016,16.93278465,2.886665561,0.447947774,-11.28928608,11.54416754,4.081478507,-1.374204278,0.371718777,-4.983990722,-5.707300225,-9.301559495,8.085701088,-2.881602128,-2.732720264,
