PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Tema,Total de egresos,396852180,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Capítulo,Servicios personales,48443161,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Concepto,Remuneraciones al personal,17751411,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Partida Genérica,Dependencias diversas,17751411,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Concepto,Remuneraciones adicionales y especiales,30691750,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Partida Genérica,Otras remuneraciones adicionales y especiales,30691750,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Capítulo,Materiales y suministros,20074273,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Concepto,Materiales y suministros diversos,20074273,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Capítulo,Servicios generales,7856090,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Concepto,Servicios de arrendamiento,342789,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Partida Genérica,Otros arrendamientos,342789,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Concepto,Servicios de comunicación social y publicidad,4888641,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Partida Genérica,Otros servicios de información,4888641,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Concepto,Otros servicios generales,2624660,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Partida Genérica,Otros servicios generales,2624660,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Capítulo,"Transferencias, asignaciones, subsidios y otras ayudas",95595155,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Concepto,Transferencias internas y asignaciones al sector público,95235804,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Partida Genérica,A poderes,8628148,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Subpartida Genérica,Legislativo,3511139,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Subpartida Genérica,Judicial,5117009,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Partida Genérica,A instituciones del gobierno según función,12737300,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Subpartida Genérica,Instituciones y programas de cultura y deporte,12737300,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Partida Genérica,Diversas transferencias,73870356,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Subpartida Genérica,Otras transferencias,73870356,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Concepto,Pensiones y jubilaciones,359351,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Partida Genérica,Pensiones,359351,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Capítulo,"Bienes muebles, inmuebles e intangibles",1966365,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Concepto,"Bienes muebles, inmuebles e intangibles diversos",1966365,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Capítulo,Inversión pública,107807226,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Concepto,Obra pública en bienes de dominio público,107807226,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Partida Genérica,Diversas obras públicas en bienes de dominio público,107807226,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Capítulo,Recursos asignados a municipios,109849054,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Concepto,Participaciones,70657556,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1991,01,Egresos,Partida Genérica,Otras participaciones,70657556,Cifras Definitivas
