PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1994,01,Egresos,Tema,Total de egresos,927571739,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1994,01,Egresos,Capítulo,Servicios personales,84433440,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1994,01,Egresos,Concepto,Remuneraciones al personal,22301057,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1994,01,Egresos,Partida Genérica,Dependencias diversas,22301057,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1994,01,Egresos,Concepto,Remuneraciones adicionales y especiales,62132383,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1994,01,Egresos,Partida Genérica,Otras remuneraciones adicionales y especiales,62132383,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1994,01,Egresos,Capítulo,Materiales y suministros,18750583,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1994,01,Egresos,Concepto,Materiales y suministros diversos,18750583,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1994,01,Egresos,Capítulo,Servicios generales,13688410,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1994,01,Egresos,Concepto,Servicios de arrendamiento,1010885,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1994,01,Egresos,Partida Genérica,Otros arrendamientos,1010885,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1994,01,Egresos,Concepto,Servicios de comunicación social y publicidad,6955150,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1994,01,Egresos,Partida Genérica,Otros servicios de información,6955150,Cifras Definitivas
